"","Description.of.incident","Information.Source"
"3669","A computer was stolen on or around July 29, 2011.  It contained the protected health information of 1,200 patients who visited for outpatient alcohol and drug treatment services.","HHS via PHIPrivacy.net"
"3670","An external computer hard drive was stolen from a MedAsset employee's car on June 24.  MedAsset provides administrative and business services to medical centers.  The hard drive contained the personal information of patients who were being considered for governmental benefits at six Saint Barnabas acute care hospitals and patient information from Cook County Health and Hospitals System in Chicago.  Patient names, medical center account numbers, medical record numbers, dates of birth, medical center charges, amount paid, health insurance information and discharge dates were exposed.  Approximately seven percent of the Saint Barnabas System patients who were affected had their Social Security numbers exposed as well.  The six Saint Barnabas Health Care System clinics are:Clara Maass Medical Center - 8,795Community Medical Center - 6,950Kimball Medical Center - 6,785Monmouth Medical Center - 6,443Newark Beth Israel Medical Center - 15,015Saint Barnabas Medical Center - 6,179Also, 32,008 CCHHS patients were affected.","HHS via PHIPrivacy.net"
"3671","A May 22 office burglary resulted in the loss of three computers with patient information.  Patient names, Social Security numbers, dates of birth, addresses, telephone numbers, and other personal information were exposed.  A notification dated June 15 was posted on Yanez's website.","HHS via PHIPrivacy.net"
"3672","Paper tracking records of tissue issued in orthopaedic surgeries performed at HJD in 2009 and 2010 were mistakenly discarded on or around June 23.  It appears that the papers were then compacted and buried in a landfill rather than properly disposed.  Patients who were affected had their name, date of birth, gender, hospital, date of surgery, and clinical surgery information exposed.  ","HHS via PHIPrivacy.net"
"3673","A hacker or hackers were able to access Ashley Industrial Molding benefit plan information through AssureCare Risk Management (ARM) on August 9.  It is unclear if this incident is related to the ARM incident reported here on August 12, 2011.","HHS via PHIPrivacy.net"
"3674","NEA's former public website was compromised by a hacker or hackers on July 12, 2011.  People who previously registered with the website in order to use the website's special functions may have had their email addresses and user name and password combinations exposed.  Some individuals also had their names, addresses, and dates of birth compromised.  Since passwords may have been obtained, individuals who may have been affected should not use their NEA website password for any other accounts.","HHS via PHIPrivacy.net"
"3675","A surgeon, had a palm pilot device stolen from his parked vehicle on or around the morning of July 13, 2011.  It held patient names, dates of birth, surgical procedures, diagnoses, and anesthesia.  Patients who had seen the surgeon between December 27, 2007 and June 24, 2011 were affected.","HHS via PHIPrivacy.net"
"3676","The July 1, 2011 theft of a desktop computer and network server resulted in the exposure of patient information.","HHS via PHIPrivacy.net"
"3677","Protected health information from a network server was breached on or around August 8, 2011.  The incident may have been an unintended disclosure which allowed unauthorized users to view information, or it may ahve been a hacking attack.","HHS via PHIPrivacy.net"
"3678","The theft of a laptop on or around August 11, 2011 resulted in the exposure of protected health information.","HHS via PHIPrivacy.net"
"3679","On September 6, X-ray films were stolen from the Hospital by thieves posing as representatives of an X-ray recycling vendor.  The thieves were most likely looking to strip the silver from the old films.  If any information had been taken from the X-rays it would include patient names, gender, dates of birth, dates of services, medical record numbers, and areas x-rayed.  ","HHS via PHIPrivacy.net"
"3680","Two men were arrested for posing as employees of an X-ray removal company in order to steal old X-ray films.  The two men hit multiple locations.  It is believed that their primary focus was the silver contained in the films, however patient medical and personal information was also linked to the X-ray films.  Around 1,000 X-rays were stolen from Harvard University Health Services and a barrel of X-rays was taken from Anna Jaques Hospital.  The men were charged with conspiracy and larceny from a building. The thefts occurred in August, but it is unclear how many other organizations were affected. The men were also linked to a crime or crimes in New Hampshire.UPDATE (03/05/2012): The men were tied to thefts and theft attempts at Anna Jaques Hospital in Newburyport and Saints Medical Center in Lowell.  ","HHS via PHIPrivacy.net"
"3681","A laptop was discovered missing on October 1, 2011.  It was either lost or stolen.  It contained names, Social Security numbers, addresses, and health information from patients. The laptop appears to have not been used to connect to the internet since October 1 and LEAS is attempting to block potential use of the device.","HHS via PHIPrivacy.net"
"3682","A computer or laptop was discovered to have been lost or stolen on or around October 23, 2011. UPDATE (12/28/2011): A total of five computers containing medical and personal information were stolen from a physician's office during the breach.  A thief had pried open an office door during the weekend of October 22-23.  Patients were informed on December 5 that their names, Social Security numbers, dates of birth, account numbers, disability codes, and diagnoses were stored on the computers.","HHS via PHIPrivacy.net"
"3683","A network server was discovered to have been stolen on or around September 30, 2011. It may have contained patient information.","HHS via PHIPrivacy.net"
"3684","Electronic medical records may have been exposed as a result of the theft of a laptop on or around August 28, 2011.  ","HHS via PHIPrivacy.net"
"3685","On or around June 25, 2011, a breach involving a laptop, a computer, and a network server was discovered.  Patient information was exposed as a result of the breach.","HHS via PHIPrivacy.net"
"3686","Paper records were found to have been exposed to unauthorized parties on or around May 6, 2010.","HHS via PHIPrivacy.net"
"3687","Papers were discovered stolen on or around July 15, 2011.","HHS via PHIPrivacy.net"
"3688","CDs with personal information were discovered lost on or around August 24, 2011.  Other items with personal information may have been lost as well.","HHS via PHIPrivacy.net"
"3689","A burglary that occurred on or around April 15, 2011 resulted in the theft of laptop with patient information.","HHS via PHIPrivacy.net"
"3690","Unauthorized access or disclosure of patient information resulted after a breach involving a laptop.  The breach was discovered on or around February 5, 2011.","HHS via PHIPrivacy.net"
"3691","The theft of paper records on or around June 28, 2011 resulted in the exposure of patient information.","HHS via PHIPrivacy.net"
"3692","X-ray records were discovered to have been improperly disposed of on or around October 1, 2011. Patient information may have been exposed.","HHS via PHIPrivacy.net"
"3693","An unencrypted USB drive was determined to be missing on April 4, 2011. It contained patient names, Social Security number, addresses, phone numbers, dates of birth, diagnosis codes, and insurance information.  ","HHS via PHIPrivacy.net"
"3694","Letters dictated by AOMS providers were accidentally uploaded onto a non-secure server in Europe. The information then became publicly searchable via internet.  AOMS learned of the breach on October 12, 2011.  People who were seen at AOMS for injuries and/or work-related examinations from July, 2009 through October 12, 2011 may have been affected by the breach.  No names, contact information, personal information, test results, financial information or Social Security numbers were exposed.","HHS via PHIPrivacy.net"
"3695","A portable electronic device was discovered to have been stolen on or around September 8, 2011. The device may have contained health and/or other personal information. ","HHS via PHIPrivacy.net"
"3696","The misplacement of paper documents resulted in the exposure of health and/or other personal information.  The breach was discovered on October 7, 2011.","HHS via PHIPrivacy.net"
"3697","The improper disposal of paper documents resulted in the exposure of health and/or other personal information.  The breach was discovered on September 6, 2011.","HHS via PHIPrivacy.net"
"3698","An October 17 office burglary resulted in the theft of a laptop.  The laptop contained patient names, dates of birth, physicians, and diagnosis information.  ","HHS via PHIPrivacy.net"
"3699","An unauthorized disclosure of paper documents occurred on January 31, 2011.  The breach may have affected records that date from September 23, 2009 through October 18, 2011. No further details are available.","HHS via PHIPrivacy.net"
"3700","The theft of a computer on or aroudn December 1, 2011 resulted in the exposure of personal information.","HHS via PHIPrivacy.net"
"3701","An office burglary resulted in the theft of an unencrypted laptop.  It contained the names, Social Security numbers, and pre-employment work-fitness tests of Concentra patients from the Springfield area.  The Concentra Springfield Medical Center will not encrypt all equipment as a result of this breach. UPDATE (4/22/2014): Concentra agreed to pay OCR (Office of Civil Rights) $1.7 million dollars for several data breaches that occured in both Texas and Missouri. The OCR found that ""Concentra previously had recognized security risks caused
 by a lack of encryption on some of its technology. However, OCR said 
steps to encrypt the technology were ""incomplete and inconsistent over 
time"".The OCR also found that "" the company did not have sufficient security management measures in place to protect patient health information"".","HHS via PHIPrivacy.net"
"3702","A binder containing forms with flu test results for 2011 went missing sometime around December 5, 2011.  It contained the information of patients who received a flu test between January 1, 2011, and December 5, 2011.  patient names, internal hospital department and internal account numbers, gender, medical record numbers, dates of birth, age, dates of tests, and flu test results.  ","HHS via PHIPrivacy.net"
"3703","A total of 771 patient records may have been exposed as a result of a breach that occurred on November 19, 2011.  No further details were disclosed.","HHS via PHIPrivacy.net"
"3704","A miscommunication caused AC LME to lose access to servers containing sensitive health information.  An Alamance County employee mistakenly changed a lock on the facility that housed data servers for AC LME.  It appears that AC LME forgot to inform the county that AC LME was extending a contract for server maintenance.  Former consumers of AC LME, including those who became PBH consumers on October 1, 2011, may have had their personal health information stored on these servers. The servers are now in the possession of the county and could contain the names, Social Security numbers, medical record identification numbers, addresses, and diagnoses of AC LME consumers. LME officials have not had access to the server room without being monitored by a county employee or with the forensics team assigned to examine the servers.","HHS via PHIPrivacy.net"
"3705","The February 11, 2012 theft of a laptop resulted in the exposure of protected health information.","HHS via PHIPrivacy.net"
"3706","The unauthorized disclosure of paper records sometime around December 22, 2011 may have resulted in the exposure of protected health information.  ","HHS via PHIPrivacy.net"
"3707","Three computers were stolen on December 30, 2011.  One of the computers contained the protected health information of patients.  ","HHS via PHIPrivacy.net"
"3708","The unauthorized disclosure of paper records may have resulted in the exposure of the protected health information of people associated with Department of Medical Assistance Services (DMAS). The incident related to DMAS's relationship with Affiliated Computer Services (ACS) and occurred sometime between November 2, 2011 and November 16, 2011. ","HHS via PHIPrivacy.net"
"3709","The theft of a laptop on or around November 10, 2011 may have resulted in the exposure of protected health information.  It is unclear if this incident is related to a December 29, 2011 incident that also resulted in the theft of a laptop that contained protected health information.","HHS via PHIPrivacy.net"
"3710","The unauthorized disclosure of paper records on November 30, 2011 may have resulted in the exposure of protected health information.  ","HHS via PHIPrivacy.net"
"3711","The December 29, 2011 theft of a laptop may have resulted in the exposure of protected health information.  It is unclear if this incident is related to a November 10, 2011 theft of a laptop that contained protected health information.","HHS via PHIPrivacy.net"
"3712","A former employee may have accessed computer systems without authorization and accessed service files.  The incident or incidents occurred between August 31, 2011 and January 31, 2012. Employee personal information as well as patient demographic and insurance information were exposed.  It is unclear if the former employee was currently employed at the time of the incidents.  The incident was posted on the HHS website on June 8.","HHS via PHIPrivacy.net"
"3713","An unencrypted thumb drive was lost on May 7 and discovered missing on May 8.  It contained the names, account numbers, diagnoses, dates of admission and discharge, physician's name, account numbers, and medical record numbers of patients.  It is unclear if only one Saint Mary Medical Center in California was affected, and if so, which one.  The incident was posted on the HHS website on June 8.","HHS via PHIPrivacy.net"
"3714","A laptop was stolen or discovered stolen sometime around March 21, 2012.  It contained the sensitive health information of 3,000 people. The incident was posted on the HHS website on June 8.UPDATE (08/03/2012): An official notice states that an employee notified Ameritas that their laptop and other items were stolen from their car on March 21.  The laptop contained information used to provide group dental and vision quotes, as well as individual member enrollment information for employer-sponsored group health plans.  The laptop was password protected but not encrypted.  Names, Social Security numbers, addresses, dates of birth, and places of employment may have been exposed.","HHS via PHIPrivacy.net"
"3715","Sensitive health information in an unspecified format was stolen or discovered stolen on or around February 1, 2011. The incident was posted on the HHS website on June 8.","HHS via PHIPrivacy.net"
"3716","A theft, possibly of a network server, resulted in the exposure of sensitive patient health information.  The theft occurred on or around March 4, 2012 and notifications were available for a limited time after April 22. The incident was posted on the HHS website on June 8.","HHS via PHIPrivacy.net"
"3717","An email or emails with sensitive health information related to a health care premium plan was mistakenly emailed to or accessed by unauthorized people.  The incident occurred or was discovered sometime around March 30, 2012.  The incident was posted on the HHS website on June 8.","HHS via PHIPrivacy.net"
"3718","A February 27 office burglary resulted in the theft of a computer server.  Sensitive client health information such as dates of birth, addresses, treatment plans, and other types of personal information were exposed.  The server was not recovered, but the theft was discovered the next morning and a police report was filed. The incident was posted on the HHS website on June 8.","HHS via PHIPrivacy.net"
"3719","An office burglary that occurred on or around March 30, 2012 resulted in the theft of several computers and electronic devices.  The computers and devices may have contained the names, Social Security numbers, addresses, phone numbers, email addresses, dates of birth, driver's license numbers, Washington state ID numbers, income or payment information about services, conditions, treatments, or diagnosis information about clients, volunteers, and staff.","HHS via PHIPrivacy.net"
"3720","A theft that occurred sometime around April 22, 2012 resulted in the exposure of protected health information.  The breach was posted on the HHS website on July 3.","HHS via PHIPrivacy.net"
"3721","The theft or loss of a laptop or laptops resulted in the exposure of protected health information.  The data breach occurred sometime around March 20, 2012, and was reported on July 3, 2012.","HHS via PHIPrivacy.net"
"3722","Envelopes containing BlueCare member protected health information were damaged while being sent to Comprehensive Counseling Network.  Lists of claims containing patient protected health information became separated from the envelopes and were lost. Patient names, BlueCare ID numbers, dates of services, procedure codes, claim numbers, totals charged, amounts paid, provider names and provider addresses may have been exposed.  The envelopes also contained check to pay for medical visits that were listed on the claims, but the checks were not lost.","HHS via PHIPrivacy.net"
"3723","A desktop computer was stolen or discovered stolen on August 1, 2011.  It contained protected health information.  The incident was disclosed on July 3.","HHS via PHIPrivacy.net"
"3724","An office burglary was discovered on March 26.  The theft of lab requisition forms that were kept in a locked cabinet resulted in the exposure of information of patients who received laboratory services between February 1 and March 23.  Patient names, addresses, phone numbers, dates of birth, insurance information, ordering practitioner's name, and types of laboratory tests ordered may have been accessed. ","HHS via PHIPrivacy.net"
"3725","The March 28, 2012 loss of a laptop during a routine patient transportation resulted in the exposure of protected health information.  It was encrypted and password protected.  The laptop was most likely let on the fender of an ambulance and lost during a route.  Patient names, Social Security numbers, addresses, and medical data related to services provided by the EMS department may have been on the laptop. Notice of the breach was given on May 24.","HHS via PHIPrivacy.net"
"3726","MHS discovered a second breach during the process of investigating a dishonest employee's misuse of patient data in January of 2012.  Employees of affiliated physicians' offices may have improperly accessed patient information through a web portal used by physicians who provide care and treatment at MHS.  Patient names, Social security numbers, and dates of birth may have been accessed during the period between January 1, 2011 and July 5, 2012.  ","HHS via PHIPrivacy.net"
"3727","A hacker or hackers accessed and encrypted the computer server of The Surgeons of Lake County.  The incident occurred between June 22 and June 25 and was an attempt to force payment from The Surgeons of Lake County in exchange for the password needed to regain access to the server.  The unauthorized user or users had access to names, Social Security numbers, addresses, credit card numbers, and medical information.  ","HHS via PHIPrivacy.net"
"3728","The May first theft of an employee's password-protected laptop resulted in the possible exposure of protected health information.  Patient medical records, reasons for visits, and dates of visits may have been exposed. A notification was placed on the UKHealthCare website on June 21.","HHS via PHIPrivacy.net"
"3729","A flash drive was lost during transit on or around May 16. Patient names, Social Security numbers, Medicaid numbers, insurance carrier contact information, medical equipment being provided by Pamlico Medical Equipment, service date, price of the equipment rental, and other miscellaneous billing information may have been on the flash drive. The flash drive is believed to have been place with compacted trash that was transported to a landfill.  ","HHS via PHIPrivacy.net"
"3730","A hacking incident that occurred on or around May 10 may have exposed the protected health information of patients.  The incident was reported by HHS on July 27.UPDATE (08/16/2012): A total of 505 clients and family members of clients of Diversified Support Services and 890 clients and family members of clients of Midtown Mental Health Center were affected.  Social Security numbers, private health information, and demographic information were exposed.","HHS via PHIPrivacy.net"
"3731","The April 24 office theft of a laptop resulted in the exposure of patient information.  The laptop contained names, dates of birth, and auditory testing data.  A public notice was posted on July 20.","HHS via PHIPrivacy.net"
"3732","The June 16 theft of a laptop may have resulted in the exposure of protected health information from psychology patients.  The incident was reported on the HHS website on July 27, 2012.","HHS via PHIPrivacy.net"
"3733","An August 26 office theft of a laptop resulted in the exposure of patient information. ","HHS via PHIPrivacy.net"
"3734","The August 4th theft of a laptop resulted in the exposure of sensitive information. The laptop contained names, Medicaid numbers, and short summary information used for administrative purposes. ","HHS via PHIPrivacy.net"
"3735","A July 24 office burglary resulted in the theft of medical bags and a laptop.  Affected patients were mailed notification letters on September 7.  Patient names, Social Security numbers, addresses, dates of birth, and medical information was exposed.  ","HHS via PHIPrivacy.net"
"3736","An incident occurred on July 31 that may have caused sensitive health information to be exposed. The information was in the form of paper records that were exposed in some undisclosed way.","HHS via PHIPrivacy.net"
"3737","The August 18th theft of a laptop resulted in the exposure of patient information.","HHS via PHIPrivacy.net"
"3738","A vendor working with patient data for digital conversion from Colon & Digestive lost a flash drive on or around July 16.  It contained patient names, Social Security numbers, dates of birth, addresses, telephone numbers, account numbers, diagnoses, and other protected health information.","HHS via PHIPrivacy.net"
"3739","The July 15 theft of an electronic device exposed patient information.","HHS via PHIPrivacy.net"
"3740","A computer system error caused sensitive information to be exposed.  The breach occurred sometime between August 19, 2011 and September 20, 2011.UPDATE (11/28/2012): It appears that the breach was related to a terminated employee who could still access Sierra Plastic Surgery's network after leaving the company.  The former employee accessed Social Security numbers, personal contact information, payment information, and other sensitive information in less than 50 instances.  It also appears that some copies of patient surgery estimates were printed and subsequently surrendered by the former employee when the breach was discovered in August of 2012.  The former employee was seeking information on compensation owed.","HHS via PHIPrivacy.net"
"3741","A network security incident resulted in the expose of patient information.  The breach occurred on August 17.UPDATE (11/26/2012): An employee accessed and downloaded patient information without authorization or a legitimate purpose on five occasions between June 29 and September 20 of 2012.  Gulf Coast Health Care Services discovered the issue on September 26.  Patients who were seen between 1992 and September 20, 2012 may have had their names, addresses, dates of birth, and phone numbers accessed.  It appears that the employee was accessing the data for the purpose of helping outside practitioners recruit patients to their own practices.  The incident was reported to the FBI, the Sarasota Police Department, and the Florida Department of Law Enforcement. This entry on the Privacy Rights Clearinghouse Chronology of Data Breaches was previously listed as a hack and was reclassified as an insider breach based on new information.","HHS via PHIPrivacy.net"
"3742","A device with patient information was discovered lost or stolen on August 15.  ","HHS via PHIPrivacy.net"
"3743","The theft of a network server on or around September 18 may have resulted in the exposure of sensitive patient information.  A notification was sent to the US Department of Health and Human Services (HHS) on November 16.","HHS via PHIPrivacy.net"
"3744","The theft of paper records may have resulted in the exposure of patient information.  The theft may have occurred on August 13, 2012 and was reported or discovered on November 16, 2012.","HHS via PHIPrivacy.net"
"3745","An unauthorized disclosure of paper records may have exposed patient information.  The breach may have taken place between May 1, 2011 and August 5, 2011.  It was discovered or reported on November 16 of 2012.","HHS via PHIPrivacy.net"
"3746","Numerous documents containing patient information were found in a vehicle during a traffic stop.  A law enforcement officer notified Coastal Behavioral Healthcare of the potential breach on October 10, 2012.  The documents contained a list of 136 Coastal Behavioral Healthcare patient names and identifying information dated April 2011.  It is unclear how the information was breached and how many additional patients may have been affected.","HHS via PHIPrivacy.net"
"3747","The data of 1,749 patients was stolen during an October 7 incident.  ","HHS via PHIPrivacy.net"
"3748","The September 19 theft of paper records may have resulted in the exposure of dental patient information.  ","HHS via PHIPrivacy.net"
"3749","Paper jackets that held radiology films were thrown away with office trash instead of being properly discarded.  The paper jackets contained names, addresses, dates of birth, ages, sex, race, and information on dates and names of radiology procedures prior to May of 2012.  The paper jackets are believed to have been picked up by a sanitation company and discarded in a landfill.","HHS via PHIPrivacy.net"
"3750","The October 16 theft of a desktop computer may have resulted in the exposure of patient information.UPDATE (12/28/2012): The computer was stolen from the Brigham and Women's Hospital office.  Medical record numbers, age, medications, laboratory values and other clinical information may have been on the computer.  Up to 615 people may have been affected by the theft.","HHS via PHIPrivacy.net"
"3751","A network server was stolen or discovered stolen on January 15, 2012.  The incident appeared on the HHS website in February of 2013.","HHS via PHIPrivacy.net"
"3752","Five laptops were stolen during the weekend of November 17, 2012.  They did not contain Social Security numbers and did contain unspecified personal information of patients.  A notice about the incident was sent on January 18, 2013 and the breach appeared on the HHS website in February of 2013.","HHS via PHIPrivacy.net"
"3753","A laptop was stolen or discovered stolen on October 11, 2012.  The incident appeared on the HHS website in February of 2013.","HHS via PHIPrivacy.net"
"3754","The January 8 theft of a billing manager's laptop resulted in the exposure of patient information.  It was stolen from the manager's car.  It contained client names, Social Security numbers, health plan numbers, dates of birth, and addresses dating as far back as 2002.  Some patients may have also had treatment service codes or diagnostic codes on the laptop.","HHS via PHIPrivacy.net"
"3755","A Connextions employee used Social Security numbers from a number of other organizations for criminal activity.  At least four members of Anthem Blue Cross and Blue Shield were affected by the criminal activity.  The breach was reported on HHS as affecting 4,814 patients, but more were affected.","HHS via PHIPrivacy.net"
"3756","The Health and Human Services website of medical breaches reports the loss of a portable electronic device by Orthopedics and Adult Reconstructive Surgery.  The breach occurred between March 1 and March 13.  AssuranceMD is named as a business associate.","HHS via PHIPrivacy.net"
"3757","The March 20 loss of paper records may have exposed the information of patients. ZDI lost the records of their associate Delta Dental of Pennsylvania.","HHS via PHIPrivacy.net"
"3758","The December 24, 2012 theft of a computer resulted in the exposure of patient information.","HHS via PHIPrivacy.net"
"3759","The March theft of radiology films resulted in the exposure of patient information.  The films were most likely stolen from the Hospital's storage room in order to be stripped of their silver.  The films contained patient names, medical record numbers, dates of exams, and in some cases, dates of birth.  The thieves posed as recycling subcontractors.  ","HHS via PHIPrivacy.net"
"3760","On February 22, 2013, the Guidance Center of Westchester discovered that a central processing unit (CPU) had been removed form a staff member's office.  The CPU was removed on February 21 and contained, names, Social Security numbers, dates of birth, dates of admittance to the Center, names of insurance carriers, home addresses, diagnoses, outpatient treatment authorization request, doctors' names, case numbers, and whether or not a patient was prescribed medication.","HHS via PHIPrivacy.net"
"3761","A custodian improperly disposed of client medical information on March 7.  The records were from the Refugee Screening, WIC, and Needle Exchange programs.  Patient names, dates of birth, phone numbers, addresses, medical record numbers, appointment dates, and medical condition or treatment may have been accessed.","HHS via PHIPrivacy.net"
"3762","The February 27 theft of a computer resulted in the exposure of patient information.","HHS via PHIPrivacy.net"
"3763","An October 10, 2012 breach resulted in the exposure of information.  The incident or incidents involved one or more network servers, theft, and/or hacking.","HHS via PHIPrivacy.net"
"3764","On April 14, 2013 staff members discovered that their location had been burglarized.  Names, Social Security numbers, addresses, dates of birth, diagnosis information, types of treatments, classes attended, court information, services provided, or insurance information of persons served by the location could have been accessed during the burglary.  Notifications were sent during the week of May 20. ","HHS via PHIPrivacy.net"
"3765","Integrity Oncology's business associate North Atlantic Telecom discovered a breach incident on March 5.  ","HHS via PHIPrivacy.net"
"3766","A laptop that contained protected health information was lost between the dates of April 4 and April 19.  ","HHS via PHIPrivacy.net"
"3767","A breach that occurred on May 17 may have exposed protected health information.  It involved email and/or the improper disposal of records.","HHS via PHIPrivacy.net"
"3768","Paper patient records were lost, stolen, or exposed during an April 25 breach.","HHS via PHIPrivacy.net"
"3769","A data breach occured between August 1, 2012 and July 8, 2013.","HHS via PHIPrivacy.net"
"3770","A breach involving paper records from CVS Caremark affected 4,305 Northrop Grumman Retiree Health Plan enrollees.","HHS via PHIPrivacy.net"
"3771","An exposure of patient paper records was discovered on May 29th.","HHS via PHIPrivacy.net"
"3772","The theft of a laptop from an employee's car around May 1, 2013 resulted in the exposure of patient information.  Patients who were seen between 2012 and 2013 may have had their or their childrens' names, Social Security numbers, and diagnosis information exposed.","HHS via PHIPrivacy.net"
"3773","The theft of a laptop resulted in the exposure of patient information.  The laptop was stolen sometime between May 25 and May 30.","HHS via PHIPrivacy.net"
"3774","An email error that occrred on June 25 resulted in the exposure of health information.","HHS via PHIPrivacy.net"
"3775","An accidental exposure of protected health information affected patients. The information was accidentally disclosed to other facilities.  The breach was reported in September of 2012.","HHS via PHIPrivacy.net"
"3776","The May 24 loss of a portable device resulted in the exposure of patient information.  ","HHS via PHIPrivacy.net"
"3777","The exposure of patient paper records resulted in a breach that was reported in August 2012.","HHS via PHIPrivacy.net"
"3778","The June 12 theft of a laptop resulted in the exposure of patient information.","HHS via PHIPrivacy.net"
"3779","An employee was found to have accessed physician notes without a work-related reason.  The breach began on November 9, 2011 and lasted until June 17, 2013.  Names, dates of service, medical record numbers, clinical information were exposed.","HHS via PHIPrivacy.net"
"3780","An October 1, 2011 breach resulted in the exposure of protected health information.","HHS via PHIPrivacy.net"
"3781","An August 24, 2012 breach resulted in the exposure of patient information.","HHS via PHIPrivacy.net"
"3782","Advantage Health Solutions and St. Francis Health Network (Franciscan Alliance ACO) were affected by a breach.","HHS via PHIPrivacy.net"
"3783","An administrative error led to the exposure of patient email addresses.  Email addresses were placed in the visible ""TO:"" field instead of the blind ""BCC:"" field.  The email was an invitation to a monthly patient advisory meeting and was sent on July 22.","HHS via PHIPrivacy.net"
"3784","A breach that involved either unauthorized access to ACO of Puerto Rico's network or an unintentional disclosure of patient information online occurred between March 5 and July 16 of 2013. ","HHS via PHIPrivacy.net"
"3785","A breach caused the exposure of patient information; Dermatology Associates of Tallahassee notified patients on September 4.  Patient names, Social Security numbers, addresses, and dates of birth were compromised.  It is unclear how the breach occurred.","HHS via PHIPrivacy.net"
"3786","Atlanta Center for Reproductive Medicine became aware of a breach on July 12.  The breach involved email and it is not clear exactly how patient information was exposed or what type of information was involved.","HHS via PHIPrivacy.net"
"3787","A hacker obtained the passwords to several employees' emails on July 29.  The email accounts may have contained the health information of patients.","HHS via PHIPrivacy.net"
"3788","Michigan College of Optometry learned on July 23, 2013 that their network had been compromised in December of 2011.  A malware program could have accessed the names, Social Security numbers, demographic information, and a limited amount of clinical information of patients that were on the server.  Former and current patients were mailed letters on September 24.","HHS via PHIPrivacy.net"
"3789","Good Samaritan Hospital learned that a laptop was missing on July 8.  An investigation revealed on September 23 that the laptop contained data files related to patient pacemakers.  Names, dates of birth, addresses, telephone numbers, and health insurance company names may have been exposed.  Five patients had their Social Security numbers on the laptop.  Only a fraction of patients who had their pacemakers checked between 1996 and July of 2013 were affected.UPDATE (12/5/2014): ""Rensselaer County has paid $25,000 in a court award and set aside 
$90,000 for expected legal fees in a flurry of lawsuits brought by jail 
officers and others whose medical information was viewed for years by 
employees using a computer in the jail nurses' office.Seven 
parties, including four current or former correction officers, a jail 
employee, the family of a correction officer on behalf of a minor child,
 and a private individual have sued the county. More suits are anticipated, officials have said.Two cases have been settled.""More Information: http://www.timesunion.com/local/article/Cost-grows-for-medical-access-la... ","HHS via PHIPrivacy.net"
"3790","The August 27 theft of a laptop resulted in the exposure of patient information.","HHS via PHIPrivacy.net"
"3791","The August 7 theft of a laptop resulted in the exposure of patient information.  ","HHS via PHIPrivacy.net"
"3792","The August 3 theft of a laptop resulted in the exposure of patient information.","HHS via PHIPrivacy.net"
"3793","University of Chicago Physicians Group's former contractor ICS Collection Services discovered that website users were able to view sensitive information of other users.  At least one user was able to view the names, addresses, dates of birth, insurance payments and dates, insurance company names, insurance policy numbers, procedures, diagnosis codes and descriptions, dates of service, treating physician names, and sometimes even Social Security numbers associated with University of Chicago Physicians Group patients.  ICS Collection Services learned of the issue on July 9.","HHS via PHIPrivacy.net"
"3794","A breach of patient records occurred between July 3 and July 11 of 2013.  In a breach that may be related, a former employee was sued for stealing confidential health information and trade secrets in October.","HHS via PHIPrivacy.net"
"3795","A routine security audit at Sierra View District Hospital revealed that an employee had inappropriately accessed protected health information.  An investigation revealed that the information was not disclosed externally.  The breach occurred between July 1 and August 2.  ","HHS via PHIPrivacy.net"
"3796","The August 22 office theft of a computer resulted in the exposure of patient information.  Names, dates of birth, age, gender, radiology images, radiation therapy dose planning, diagnoses, and Texas Health Presbyterian medical record numbers were on the computer.","HHS via PHIPrivacy.net"
"3797","A briefcase was stolen from an employee's car sometime between the evening of August 22 and the morning of August 23.  The case files of seven clients were inside of the briefcase. Additionally, the briefcase contained a computer with files that included names, partial Social Security numbers, dates of birth, addresses, and clinical notes related to all clients.","HHS via PHIPrivacy.net"
"3798","A former employee refused to return a laptop that contained unspecified patient health information.  North County Hospital first learned of the issue on September 18.  The Newport Police Department was contacted and all administrator-level computer system user codes and passwords that the employee had access to were changed.  The laptop was also password-protected and will be remotely locked out if someone attempts to use it to access the Hospital systems.","HHS via PHIPrivacy.net"
"3799","Two women are accused of misusing the information of over 115 people in the Bay Area for identity theft purposes.  At least 15 Atla Bates Summit Medical Center patients had their information misused and at least 35 had their information collected.  The two women were arrested on November 5 and also had a payroll sheet from AverMedia Technologies in their possession.","HHS via PHIPrivacy.net"
"3800","New Health and Human Services Commission ID numbers were sent on Superior ID cards to CHIP members on October 4.  It was discovered that a computer error caused some Superior CHIP ID cards to be sent to incorrect addresses. Names, CHIP ID numbers, and doctors' names and phone numbers were exposed.  All members who were affected were notified.","HHS via PHIPrivacy.net"
"3801","The October 1 theft of a laptop resulted in the exposure of patient information.","HHS via PHIPrivacy.net"
"3802","Patient records were improperly disposed of on August 6.  ","HHS via PHIPrivacy.net"
"3803","Group Health member identification numbers and chronic conditions were accidentally printed on the outside of letters that were mailed on September 16.  The issue was discovered on September 23.","HHS via PHIPrivacy.net"
"3804","The August 1 theft or loss of a portable electronic device resulted in the exposure of patient information.","HHS via PHIPrivacy.net"
"3805","Patient records were improperly disposed of sometime between June 28 of 2013 and July 16 of 2013.","HHS via PHIPrivacy.net"
